p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor
,,,,20,90.2013,-104.595247,,399.999809,1,0,0,,23,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.4755,8.248386,,399.999809,0,0,0,,23,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.6813,-102.183355,,399.999809,1,0,0,,24,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.1555,8.012207,,399.999809,0,0,0,,24,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2813,-102.433848,,399.999809,1,0,0,,25,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.3955,7.640046,,399.999809,0,0,0,,25,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.9213,-103.235427,,399.999809,1,0,0,,26,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.5955,7.790342,,399.999809,0,0,0,,26,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,89.9613,-102.877579,,399.999809,1,0,0,,27,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,96.0355,7.389552,,399.999809,0,0,0,,27,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.0413,-100.408431,,399.999809,1,0,0,,28,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.1555,7.940638,,399.999809,0,0,0,,28,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.1213,-104.208771,,399.999809,1,0,0,,29,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.7555,6.1514,,399.999809,0,0,0,,29,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2813,-102.763068,,399.999809,1,0,0,,30,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,96.7555,6.058359,,399.999809,0,0,0,,30,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.1213,-99.041454,,399.999809,1,0,0,,31,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.3955,6.809839,,399.999809,0,0,0,,31,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,89.8813,-98.597723,,399.999809,1,0,0,,32,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.8755,6.187184,,399.999809,0,0,0,,32,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-98.01801,,399.999809,1,0,0,,33,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.2755,5.14227,,399.999809,0,0,0,,33,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.1213,-96.915839,,399.999809,1,0,0,,34,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.3955,4.963346,,399.999809,0,0,0,,34,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2813,-97.237902,,399.999809,1,0,0,,35,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.7555,4.770108,,399.999809,0,0,0,,35,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,89.9613,-97.939283,,399.999809,1,0,0,,36,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.2355,5.213839,,399.999809,0,0,0,,36,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-98.447426,,399.999809,1,0,0,,37,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
