p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor,FORCE MAX,FORCE MIN,DIST @MAX,DIST @MIN
,,,,20,,,,399.999809,1,0,0,,38,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,5.020601,-97.209274,96.5955,90.1213
,,,,20,,,,399.999809,1,0,0,,39,SAFEWAY,11.3-8,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,4.734323,-97.896341,94.2755,91.1613
,,,,20,110.740875,-0.370344,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-0.362543,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-11.22439,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-32.321492,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-69.999442,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-78.035208,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-83.227945,0,39.999981,1,0,0,,0,SAFEWAY,11.3-11,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,110.740875,-0.316008,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-1.184117,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-14.872573,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-42.424027,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-76.625969,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-73.152148,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-78.847792,0,39.999981,1,5.25,3,,0,SAFEWAY,11.3-12,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,110.740875,-0.226217,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-1.456182,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-0.738397,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-36.38508,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-73.329399,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-79.232966,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,67.900203,-83.253711,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-13,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,,,,399.999809,1,4.65,0,,0,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,10.47062,-179.918503,92.9155,93.1613
,,,,20,,,,399.999809,1,4.65,0,,1,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,9.840808,-190.46782,94.5155,90.1213
,,,,20,,,,399.999809,1,4.65,0,,2,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.680145,-209.970488,93.4755,90.5213
,,,,20,,,,399.999809,1,4.65,0,,3,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.379553,-220.276477,94.8355,90.5213
,,,,20,,,,399.999809,1,4.65,0,,4,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.265041,-232.085366,94.9155,90.2813
,,,,20,,,,399.999809,1,4.65,0,,5,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.372396,-234.747787,94.4355,90.3613
,,,,20,,,,399.999809,1,4.65,0,,6,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.937795,-234.74775,95.0755,90.0413
,,,,20,,,,399.999809,1,4.65,0,,7,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.443965,-237.524677,93.8755,90.7613
,,,,20,,,,399.999809,1,4.65,0,,8,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.293669,-238.698375,93.8755,90.5213
,,,,20,,,,399.999809,1,4.65,0,,9,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.021705,-243.128563,94.4355,90.6013
,,,,20,,,,399.999809,1,4.65,0,,10,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.680145,-246.062877,94.1955,90.2813
,,,,20,,,,399.999809,1,4.65,0,,11,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.859068,-245.697894,94.5955,90.6013
,,,,20,,,,399.999809,1,4.65,0,,12,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,10.957293,-241.346447,94.8355,90.2013
,,,,20,,,,399.999809,1,4.65,0,,13,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,49.347181,-250.099406,68.2167,90.6813
,,,,20,,,,399.999809,1,4.65,0,,14,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,49.798069,-242.921016,68.2167,90.7613
,,,,20,,,,399.999809,1,4.65,0,,15,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,11.214943,-222.602478,93.5555,90.9213
,,,,20,,,,399.999809,1,4.65,0,,16,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,46.656167,-234.912363,68.312,91.6413
,,,,20,,,,399.999809,1,4.65,0,,17,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,45.926158,-240.444703,68.287,90.0413
,,,,20,,,,399.999809,1,4.65,0,,18,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,53.584096,-245.604936,68.4059,89.6413
,,,,20,,,,399.999809,1,4.65,0,,19,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,33.17247,-236.350944,68.1437,90.3613
,,,,20,,,,399.999809,1,4.65,0,,20,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,51.150732,-243.987393,68.4059,90.2813
,,,,20,,,,399.999809,1,4.65,0,,21,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,41.55326,-243.049826,68.1535,90.3613
,,,,20,,,,399.999809,1,4.65,0,,22,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,50.463665,-240.330277,68.4201,89.5613
,,,,20,,,,399.999809,1,4.65,0,,23,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,47.744024,-244.9465,68.2279,89.9613
,,,,20,,,,399.999809,1,4.65,0,,24,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,37.717134,-256.569365,68.02,90.6013
,,,,20,,,,399.999809,1,4.65,0,,25,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,42.483664,-241.038805,68.312,90.2813
,,,,20,,,,399.999809,1,4.65,0,,26,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,26.366211,-232.250081,67.9133,90.2013
,,,,20,,,,399.999809,1,4.65,0,,27,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,50.678374,-242.412936,68.3378,90.0413
,,,,20,,,,399.999809,1,4.65,0,,28,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,39.184309,-256.275925,68.0486,90.1213
,,,,20,,,,399.999809,1,4.65,0,,29,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,39.449117,-240.845567,68.3644,89.8013
,,,,20,,,,399.999809,1,4.65,0,,30,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,50.893082,-263.418547,68.287,89.5613
,,,,20,,,,399.999809,1,4.65,0,,31,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,50.377782,-261.915596,68.134,90.6813
,,,,20,,,,399.999809,1,4.65,0,,32,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,45.432328,-260.026163,68.2167,89.9613
,,,,20,,,,399.999809,1,4.65,0,,33,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,47.049799,-267.626828,68.5408,89.6413
,,,,20,,,,399.999809,1,4.65,0,,34,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,40.901978,-271.262549,68.0563,90.6013
,,,,20,,,,399.999809,1,4.65,0,,35,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,47.786966,-272.307464,68.4201,89.8813
,,,,20,,,,399.999809,1,4.65,0,,36,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,45.568311,-271.226763,68.8786,89.4813
,,,,20,,,,399.999809,1,4.65,0,,37,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,44.995754,-268.578694,68.3378,89.8813
,,,,20,,,,399.999809,1,4.65,0,,38,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,35.999466,-298.244172,68.4639,89.9613
,,,,20,,,,399.999809,1,4.65,0,,39,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,37.438013,-292.711865,69.0002,89.7213
,,,,20,110.740875,-0.332698,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,97.001062,-1.372932,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,92.901344,-0.759023,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,88.400781,-35.129235,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,78.401516,-88.819946,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
,,,,20,72.400766,-93.469179,0,39.999981,1,4.65,0,,0,SAFEWAY,11.3-17,11.1-9,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn,,,,
